ID;x;y;C;N;E;S;W
626;492711.7265;7661485.972;23;23;12;23;23
627;492709.2317;7661537.947;22;22;23;12;22
628;492703.27;7661587.076;24;24;24;24;24
629;492697.0429;7661634.947;22;22;22;22;22
630;492692.2951;7661685.693;22;22;23;23;22
631;492685.8224;7661736.626;81;23;24;23;23
632;492682.548;7661786.667;23;23;81;22;24
633;492676.0094;7661838.308;22;22;22;22;24
634;492662.443;7661887.861;23;23;23;22;23
635;492666.2631;7661936.789;23;23;24;22;24
636;492662.7196;7661985.442;23;24;29;29;29
637;492658.8474;7662037.997;24;24;24;24;24
638;492656.7347;7662082.099;22;22;22;23;22
639;492649.9973;7662136.676;22;22;22;22;23
640;492643.1432;7662183.586;22;23;22;22;22
641;492883.784;7660251.681;22;71;22;22;27
642;492881.007;7660302.799;22;21;21;21;27
643;492873.232;7660352.614;22;75;75;27;22
644;492870.5719;7660403.36;75;75;75;25;25
645;492864.8633;7660451.303;25;85;85;25;25
646;492860.311;7660502.775;71;22;71;71;71
647;492851.7368;7660550.433;22;27;22;27;27
648;492850.8729;7660601.725;22;22;22;22;22
649;492847.871;7660651.664;23;71;71;23;23
650;492840.2301;7660700.936;23;27;23;22;27
651;492834.4068;7660748.258;25;25;25;25;25
652;492830.1736;7660798.34;25;25;24;29;29
653;492827.4541;7660845.602;12;23;23;31;31
654;492821.0548;7660898.017;24;24;24;24;24
655;492817.9524;7660946.575;25;12;23;23;23
656;492812.1321;7660996.041;23;22;23;22;21
657;492806.2858;7661048.887;84;84;84;84;84
658;492802.4532;7661095.712;29;12;84;29;23
659;492796.2711;7661145.623;24;24;24;24;29
660;492790.7197;7661195.944;24;24;24;23;23
661;492786.9714;7661245.697;87;87;87;23;87
662;492784.0131;7661292.926;23;23;23;23;24
663;492777.7649;7661346.203;80;80;80;41;80
664;492771.1996;7661397.238;31;31;75;31;80
665;492766.6227;7661445.549;22;22;22;31;12
666;492761.8043;7661495.167;23;23;75;22;23
667;492757.2465;7661545.107;22;23;22;23;22
668;492752.4004;7661594.264;81;22;81;23;21
669;492749.1018;7661644.296;23;22;23;22;22
670;492744.8678;7661694.412;23;22;22;22;22
671;492738.6237;7661744.974;23;25;23;21;82
672;492733.0037;7661795.616;24;24;24;29;29
673;492726.9016;7661844.804;24;24;24;24;24
674;492724.739;7661894.985;21;22;21;23;81
675;492719.7484;7661944.026;23;24;24;30;24
676;492713.0338;7661993.778;24;24;24;29;29
677;492707.2762;7662044.51;23;23;23;23;24
678;492702.9788;7662092.489;22;22;24;24;23
679;492700.207;7662141.065;22;24;22;22;22
680;492695.8924;7662190.252;22;22;22;22;22
681;492936.4037;7660253.592;85;80;27;22;85
682;492928.5092;7660306.315;71;71;71;71;71
683;492924.6857;7660353.873;25;71;27;30;30
684;492921.9177;7660404.781;47;47;25;47;83
685;492914.6572;7660452.806;75;21;75;30;25
686;492910.5099;7660503.689;52;27;75;75;27
687;492904.4962;7660554.659;85;85;30;80;27
688;492897.8555;7660604.767;41;24;24;24;41
689;492893.5399;7660654.034;27;23;22;23;22
690;492887.6163;7660702.953;44;27;85;100;25
691;492880.8819;7660752.217;12;85;85;22;25
692;492876.6721;7660798.658;25;31;12;23;24
693;492873.6957;7660849.957;23;22;22;23;23
694;492868.5773;7660900.939;22;22;22;24;22
695;492866.4421;7660951.989;23;23;24;23;23
696;492861.9662;7660999.432;31;22;31;84;84
