"plot","image_nr","cavm","cavm.notes","image.notes","X","X.1","X.2","X.3","Classes","X.4","X.5"
37,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
319,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
355,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
511,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
11209,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
1105,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
997,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
991,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
11223,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
1159,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
